"_time",ENTRY
"2022-01-28T02:06:00.000-0800","EOR."
"2022-01-28T02:02:00.000-0800","M-Line Blanket established."
"2022-01-28T01:52:00.000-0800","A-Line Blanket established."
"2022-01-28T01:45:00.000-0800","SA at M60 reports a sleeper on the platform, will not get up and leave the station. BPD advised."
"2022-01-28T01:38:00.000-0800","Core-Line Blanket established."
"2022-01-28T01:33:00.000-0800","BPD requesting an extended dwell at W30-1 for T323. (33)"
"2022-01-28T01:31:00.000-0800","(ref 0027) T323 released ATO, now (14) minutes late."
"2022-01-28T01:25:00.000-0800","T203 A50-1, no ATO doors, 311. Lead unit is C434."
"2022-01-28T01:08:00.000-0800","Power Support reports when KMA D02 was tripped, all breakers at KMA tripped and generated a Station Equipment Trouble Alarm. Electrical FW advised, dispatching a crew to respond. KMA will remain offline till crews arrive to investigate."
"2022-01-28T01:03:00.000-0800","Final Trains for the evening released at K30."
"2022-01-28T00:49:00.000-0800","DMZ1 & consist issued cat B work orders for the M1 Track between M60 and M70."
"2022-01-28T00:45:00.000-0800","T511 confirms 3 track units set on the M1 Track at MW02. T511 back in ATO, now (3.5) minutes late."
"2022-01-28T00:35:00.000-0800","(ref 0025) DMZ1 & consist clear of work orders."
"2022-01-28T00:34:00.000-0800","S5068 early out from OCY to MP 9.0 C2 Track."
"2022-01-28T00:27:00.000-0800","T323 BPD hold at M40-1 for a sweep. (32)"
"2022-01-28T00:27:00.000-0800","T203 BPD hold at A90 for BPD sweeps. (31)"
"2022-01-28T00:25:00.000-0800","DMZ1 & consist issued Cat b work orders for MW02 for set-on/early out. Tracks powered off, trains holding out on both sides."
"2022-01-28T00:02:00.000-0800","R60 is staffed again."
"2022-01-28T00:00:00.000-0800","T319 BPD hold at M40-1 for a sweep. (30)"
"2022-01-27T23:57:00.000-0800","T211 S40-2, no ATO doors, 311. Lead unit is C1258."
"2022-01-27T23:57:00.000-0800","T954 9 car balance train from OCY to W40."
"2022-01-27T23:53:00.000-0800","T225 BPD hold at A90-1 for a Sweep. (29)"
"2022-01-27T23:32:00.000-0800","C60 is staffed again."
"2022-01-27T23:24:00.000-0800","T207 S40-2, no ATO doors, 311. Lead unit is C3052."
"2022-01-27T23:14:00.000-0800","Replacement train for T517 failed after dispatching from ODY. Yard was trying to capture a high hour PM C3021. ODY will try to pull the car when the train comes back in the morning."
"2022-01-27T23:10:00.000-0800","T507 at L30-2, no ATO doors, 311. Lead unit is C364."
"2022-01-27T22:22:00.000-0800","(ref 2213) Subject is off the train at W10 with the SA. BPD and Medical are on site. T319 released ATO (11) minutes late.  TPA made."
"2022-01-27T22:18:00.000-0800","(ref 2211) Passenger administered narcan and the subject is breathing and conscious again. BPD updated. SA is assisting the subject off the train to wait for medical."
"2022-01-27T22:16:00.000-0800","(ref 2211) T319 reports subject is no longer breathing. BPD updated."
"2022-01-27T22:13:00.000-0800","(ref 2211) SA at W10 requesting medical for a passenger in C4009. BPD is rolling medical. Passenger is possibly having an overdose."
"2022-01-27T22:13:00.000-0800","(ref 2159) T219 released ATO, now (5) minutes late."
"2022-01-27T22:11:00.000-0800","T319 BPD Hold at W10 in C4009, for a possible medical, Passenger possibly having convulsions.  SA heading down to assist. Operator is heading back at W10."
"2022-01-27T22:05:00.000-0800","Fire Summary alarm at R30. Station is unstaffed. BPD and electricians in route to respond. T207 reports strobes and alarms going off, no smoke or flames observed."
"2022-01-27T21:59:00.000-0800","T219 BPD hold at A90-2 for a welfare check. (28)"
"2022-01-27T21:55:00.000-0800","T323 C1204 has a door window panel missing in door #1."
"2022-01-27T20:54:00.000-0800","T515 BPD hold A10-1 for suspicious person. (27)"
"2022-01-27T20:26:00.000-0800","WYSD W1 18.9 phone off/on hook inspected by T419 now (965) seconds late, all clear."
"2022-01-27T20:00:00.000-0800","Medic 10 Medic 16 off duty."
"2022-01-27T19:42:00.000-0800","T225 BPD hold A90-2 for high profile fare evader, released ATO (521) seconds late. (26)"
"2022-01-27T19:39:00.000-0800","(ref 1934) T405 is released ATO (720) seconds late, T325 (394) seconds late, T507 (405) seconds late, T407 (260) seconds late."
"2022-01-27T19:34:00.000-0800","T405 BPD hold M50-2 for possible medical. (25)"
"2022-01-27T19:15:00.000-0800","All 500 out of L30 will be late due to the major delays out of San Francisco and trains turned operator are out of position."
"2022-01-27T19:11:00.000-0800","(ref 1903) T315 released ATO (1842) seconds late."
"2022-01-27T19:03:00.000-0800","T315 BPD hold K10-3 for person with a knife. (24)"
"2022-01-27T18:50:00.000-0800","(ref 1841) T513 released (1815) seconds late."
"2022-01-27T18:48:00.000-0800","T709 BPD hold C40-1 for welfare check, now released (1814) seconds late. (23)"
"2022-01-27T18:43:00.000-0800","(ref 1839) T517 released ATO (1023) seconds late."
"2022-01-27T18:41:00.000-0800","T513 BPD hold L10-1 for welfare check. (22)"
"2022-01-27T18:39:00.000-0800","T517 M40-2 BPD hold for welfare check. (21)"
"2022-01-27T18:33:00.000-0800","(ref 1804) T417 released ATO (2828) seconds late, T315 (1307) seconds late, T105 (1106) seconds late, T421 (1125), T317 (941), T517 (786)."
"2022-01-27T18:33:00.000-0800","T321 is a hole Y10-1 due to staffing and recovery from major delays."
"2022-01-27T18:13:00.000-0800","(ref 1804) BPD on scene."
"2022-01-27T18:04:00.000-0800","T417 BPD hold M90-2 for report of a fight. (20)"
"2022-01-27T17:57:00.000-0800","(ref 1730) T309 released ATO (1620) seconds late, T511 (1571) seconds late, T103 (185) seconds late, T403 (190) seconds late, T415 (1333) seconds late, T417 (891) seconds late, T313 (417) seconds late. T515 turnback as T513 at M60, T311 turnback as T319 at M90, T319 turnback M60 as T311."
"2022-01-27T17:52:00.000-0800","(ref 1730) BPD on scene."
"2022-01-27T17:50:00.000-0800","(ref 1730) No sign of BPD."
"2022-01-27T17:30:00.000-0800","T309 BPD hold M70-2 for phone theft. (19)"
"2022-01-27T17:22:00.000-0800","(ref 1709) T325 released ATO (94) seconds late."
"2022-01-27T17:20:00.000-0800","(ref 1618) T16 cleared Cat B WO W15XL."
"2022-01-27T17:14:00.000-0800","T411 BPD hold M40-2 for welfare check. (18)"
"2022-01-27T17:09:00.000-0800","T325 BPD hold C80-1 for welfare check. (17)"
"2022-01-27T17:07:00.000-0800","409 BPD hold M30-2 for welfare check, released ATO (304) seconds late. (16)"
"2022-01-27T16:28:00.000-0800","T955 balance ODY-L30 revenue ready."
"2022-01-27T16:18:00.000-0800","T16 Cat B WO W15XL for inspection."
"2022-01-27T16:11:00.000-0800","T123 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T15:56:00.000-0800","(ref 1540) T207 released ATO (454) seconds late."
"2022-01-27T15:53:00.000-0800","(ref 1540) Medical on scene."
"2022-01-27T15:51:00.000-0800","(ref 1550) T513 released ATO no delay."
"2022-01-27T15:50:00.000-0800","T513 BPD hold A30-1 for off load. (15)"
"2022-01-27T15:40:00.000-0800","ORY called about a female patron on T207 c1882 coming out of the yard in need of medical, BPD advised and medical enroute. T207 hold R60-2. (14)"
"2022-01-27T15:26:00.000-0800","T117 hole S50-M90 roundtrip UFN due to staffing shortage."
"2022-01-27T15:09:00.000-0800","(ref 1459) T519 released ATO (270) seconds late."
"2022-01-27T15:00:00.000-0800","Medic 10 Medic 16 on duty."
"2022-01-27T15:00:00.000-0800","T213 hole S50-R60 roundtrip UFN due to staffing shortage."
"2022-01-27T14:59:00.000-0800","T519 BPD hold L10-2 for welfare check. (13)"
"2022-01-27T14:50:00.000-0800","T509 M90-1 could not key on North end, After T/S YO exercised the MCSS in trail and was able to clear, (404) seconds late."
